Item,P5531,P3377,P2088,P856
Q17143508,0001454789,CATB:US,catabasis-pharmaceuticals,https://astriatx.com/
Q104481167,,,,https://arsenalbio.com/
Q3277465,0000908937,SIRI:US,sirius,https://www.siriusxm.com/
Q67158557,,,megvii-technology,
Q23498528,0001556314,1041196D:AU,canva,https://www.canva.com/
Q28065815,,0956625D:US,workboard,https://www.workboard.com/
Q55775893,,1786Z:SW,stockx,https://stockx.com/
Q97498253,0001528762,1277050D:US,inventure,https://tala.co/
Q24908599,,1404463D:US,tally-technologies,https://www.meettally.com/
Q66441028,,,mason,https://bymason.com/
Q20160951,,94663Z:US,webflow,https://webflow.com/
Q89269703,0001781814,1432657D:US,notion-so,https://www.notion.so/
Q30668026,0001721834,1628972D:US,calm-com,https://www.calm.com/
Q47004657,0001381015,1487411D:US,against-gravity,https://recroom.com/
Q54954068,0001594266,1251524D:US,security-scorecard,https://securityscorecard.com/
Q6019234,,,indiamart,https://m.indiamart.com/
Q96377114,,,elementor,https://elementor.com/
Q25431293,,,ninebot,https://www.ninebot.com
Q64141485,0001783250,,dust-identity,https://dustidentity.com/
Q106455641,,1688158D:IN,cred-6ab0,https://cred.club/
Q63435709,0001783191,1722773D:US,substack,https://substack.com/
Q60787006,,1667265D:US,domio-inc,https://www.staydomio.com/
Q16967800,,1067779D:US,projector-psa,https://www.projectorpsa.com/
Q98221366,,1783658D:CP,deepnote,https://deepnote.com/
Q95972615,0001817404,1627708D:US,gatsby-e828,https://www.gatsbyjs.com/
Q22671933,,,pro-optik,https://www.prooptik.de/augenoptik/
Q58244340,,,alpacadb,https://alpaca.markets/
Q51724164,,,remarkable-3,https://remarkable.com/
Q30268939,0001633932,,essa-pharma,https://www.essapharma.com/
Q18378814,,,snapwire,https://snapwire.co/
Q85816189,,1525385D:US,workato,https://www.workato.com/
Q86750527,0001712600,1782318D:US,neighbor,https://www.neighbor.com/
Q10681448,,,storytel-ab,https://www.storytel.com/
Q18156830,0001847584,,walkme,https://www.walkme.com/
Q2150861,0001792660,1766029D:US,1password,https://1password.com/
Q56319818,,1813136D:US,bitwarden,https://bitwarden.com/
Q65563177,0001663633,0117436D:US,,
Q105537960,,1823027D:AU,buildkite,https://buildkite.com/
Q83948954,0001859639,1745305D:LN,cazoo,https://www.cazoo.co.uk/
Q76658524,,1769012D:CP,rossum,https://rossum.ai/
Q4686289,,0042202D:US,advanced-systems-concepts,https://www.advsyscon.com/
Q5137551,,,cososys,https://www.endpointprotector.com/
Q21233433,0001830043,BMBL:US,bumble,http://bumble.com/
Q107451661,,1786089D:LN,hopin-8ff6,https://hopin.com/
Q1956271,,1791542D:CN,vanilla-forums,https://vanillaforums.com/en/
Q61932280,,1787574D:SS,mavenoid,https://www.mavenoid.com/en/
Q15330,,1475347D:US,waymo,https://waymo.com/
Q107101545,,1866173D:US,clubhouse-voice,https://www.clubhouse.com
Q30272539,,1536099D:DC,labster,https://www.labster.com/
Q30288551,,1794591D:US,prothelia,https://prothelia.com/
Q1049707,,,,https://www.castolin.com/
Q65090792,0001573221,REAL:US,the-realreal,https://www.therealreal.com/
Q7605173,,,dribbble,https://dribbble.com/
Q106178442,,1506308D:FP,exotec-solutions,https://www.exotec.com/accueil-fr/
Q106609131,0001739466,1872691D:US,mobilecoin,https://mobilecoin.com/
Q600746,,,permasteelisa-s-p-a,
Q30265338,,,bionanomatrix,https://bionanogenomics.com/
Q5188509,0001752947,1690595D:US,crossbeam,https://www.crossbeam.com/
Q105523379,,1780561D:US,polygon-io,https://polygon.io/
Q5068878,,,devpost,https://devpost.com/
Q2912154,,,verifone,https://www.verifone.com/en/us
Q96756335,,,bygghemma-group-first,https://www.wearebhg.com/
Q17379906,0001782999,,puretech-ventures,
Q99790052,0001573348,,datarobot,https://www.datarobot.com/
Q93358736,,1458226D:ID,arex,https://arex.io/
Q3433657,,2150252Z:US,episerver,https://www.optimizely.com/
Q25395267,,1188122D:FP,lydia,https://lydia-app.com/
Q7276284,0001838125,R9C:GR,rea-group,https://www.rea-group.com/
Q20715093,,TDOC:US,teladoc-f156,https://www.teladoc.com/
Q64142088,0001662579,CCCC:US,,https://c4therapeutics.com/
Q104480437,0001811858,1836484D:US,scorpion-therapeutics,https://www.scorpiontx.com/
Q101609467,0001769656,1828691D:US,the-not-company,https://notco.com/
Q54263821,0001673976,1556837D:US,relativity-space,https://www.relativityspace.com/
Q56408456,,1889772D:NO,cognite,https://www.cognite.com/en/
Q65172862,,,aisense-inc,https://otter.ai/
Q85872996,,1403270D:CH,keep-3,
Q17192526,0001438115,4563:JP,,
Q22907179,0001499932,0273918D:US,chartbeat,https://chartbeat.com/
Q3433657,,2150252Z:US,,https://www.optimizely.com/
Q25303179,,1031542D:US,shippo,https://goshippo.com/
Q54952592,,LKSD:US,lsc-communications,https://www.lsccom.com/
Q39053197,,0895330D:US,fall-alert,https://www.medicalguardian.com/
Q30297855,0001746727,9982516Z:US,coldquanta,https://coldquanta.com/
Q832450,,4159589Z:LN,sportfive-active-sports-marketing,https://sportfive.com/
Q37894351,,1510494D:IT,sweet-inn,https://www.sweetinn.com/
Q22077752,0001737560,1009239D:US,harbor-platform,https://harbor.com/
Q98097285,,1815431D:FP,sorare,https://sorare.com/
Q65256461,0001745319,,veriff,https://www.veriff.com/
Q5089544,0001364954,CHGG:US,chegg,https://www.chegg.com/
Q24050001,0001684805,1573139D:BZ,rocket-chat,https://rocket.chat/
Q29960503,,1537272D:RU,indriver,https://indriver.com/
Q106303184,0001828164,,dispo,https://dispo.fun/
Q106492838,,,bitclout,https://bitclout.com/
Q47487465,,1374552D:IT,simplex-3,https://www.simplex.com/
Q933850,0001462887,1886:HK,huiyuan,
Q30268910,0001817944,,clarus-therapeutics,https://clarustherapeutics.com/
Q7455899,0001472761,0743392D:US,servio,http://serv.io/
Q23786068,0001466301,CLVS:US,clovis-oncology,https://clovisoncology.com/
Q5156742,0001184404,,composite-software-inc,https://www.tibco.com
Q30260386,0001434418,CNST:US,constellation-pharmaceuticals,http://www.constellationpharma.com/
Q16241261,0001371636,0346007Z:US,conviva,https://www.conviva.com/
Q835702,,,corel,https://www.corel.com/en/
Q23074194,0001554167,0129892D:US,correct-care-solutions,
Q5173232,0001107730,,cortera,https://pulse.moodysanalytics.com/
Q5175946,0001845022,9890635Z:US,couchbase,https://www.couchbase.com/
Q5177980,0001385867,,coupa,https://www.coupa.com/
Q96375655,0001721323,,credit-sesame,https://www.creditsesame.com/
Q50038324,0001235912,,cvrx,https://www.cvrx.com/
Q5198104,0001130166,,cyclacel-pharmaceuticals,https://cyclacel.com/
Q43896252,0001598646,,minerva-neuroscience,https://www.minervaneurosciences.com/
Q13512397,0001515380,8218820Z:US,dailybooth,
Q6508792,,,leadspace,https://www.leadspace.com/
Q44076893,,,datacore-software,https://www.datacore.com/
Q5227131,0001522191,0211417Z:US,datastax,https://www.datastax.com/
Q18149240,0001460190,ROKU:US,dataxu,https://advertising.roku.com/
Q104480191,0001464449,1677324D:US,dc-devices,https://corviamedical.com/
Q16991660,0001439696,0533722D:US,delphix,https://www.delphix.com/
Q30268905,0001399529,DRNA:US,dicerna-pharmaceuticals,https://dicerna.com/
Q5282626,0001410883,8971046Z:US,displaylink,https://www.synaptics.com/products/displaylink-graphics
Q5130857,0001178376,,divitas-networks,https://www.clearfly.net/
Q5307876,0001670669,,lytx-inc,https://www.lytx.com/en-us/
Q5203294,0001547061,,d-wave-systems,https://www.dwavesys.com/
Q30285936,0001119085,,earth-networks,https://www.earthnetworks.com/
Q104480384,0001347123,4614938Z:US,ebr-systems,https://ebrsystemsinc.com/
Q5347754,0001293139,,egenera-inc,https://www.egenera.com/
Q5348136,0001469158,8153569Z:US,egnyte,https://www.egnyte.com/
Q5357340,0001175319,,electric-cloud,https://www.cloudbees.com/
Q104480415,0001356688,,endogastric-solutions,https://www.endogastricsolutions.com/
Q3054112,0001528521,,enerkem,https://enerkem.com/
Q5377734,0001423631,,engineyard,https://www.engineyard.com
Q5395458,,,erply,https://erply.com/
Q30271862,0001633070,AXLA:US,axcella,https://axcellatx.com/
Q5417351,0001438423,MRAM:US,everspin-technologies,https://www.everspin.com/
Q21178592,0001476840,,,https://www.expensify.com/
Q380,0001326801,,facebook,https://www.facebook.com/
Q5428815,,,factual,https://www.factual.com/
Q30287119,0001434316,FATE:US,fate-therapeutics,https://fatetherapeutics.com/
Q5459008,0001419600,,flexion-therapeutics,https://flexiontherapeutics.com/
Q30287307,0001423344,0267130Z:US,follica,http://www.follicabio.com/
Q30259072,,0563673D:US,foro-energy,
Q2749364,0001262039,,fortinet,https://www.fortinet.com/
Q51709,0001470908,3590053Z:US,foursquare,https://foursquare.com/
Q2743872,,8285497Z:US,open-english,https://www.openenglish.com/
Q3090878,0001272059,,funambol,https://funambol.com/
Q5509024,,FCH:LN,funding-circle,https://www.fundingcircle.com/us/
Q19903400,0001483315,0572982D:US,lendkey-technologies-inc,https://www.lendkey.com/
Q5517210,0001444363,,gain-capital,https://gaincapital.com/
Q18148537,0001385374,GLSS:US,gelesis,https://www.gelesis.com/
Q6968762,0001604821,NTRA:US,natera,https://www.natera.com/
Q30268095,0001457612,GNCA:US,genocea-biosciences,
Q18357093,0001143301,GENO:US,genomatica,https://www.genomatica.com/
Q5554388,,0109271Z:US,getaround,https://www.getaround.com/
Q104480673,0001245791,,gi-dynamics,https://gidynamics.com/
Q15954148,0001420715,,glassdoor,https://www.glassdoor.com/index.htm
Q56102498,0001672598,,,https://www.netlify.com/
Q16840626,0001438062,34102Z:US,good-data,https://www.gooddata.com/
Q5582969,,,good-technology,http://good.com/
Q1538591,,0126507D:US,goss-international,
Q16982611,,,greatpoint-energy,http://greatpointenergy.com/
Q5615528,0001528396,,guidewire-software,https://www.guidewire.com/
Q104480611,0001341675,0345775Z:US,gynesonics,https://gynesonics.com/us/
Q16995049,0001489598,0077940D:US,healthtap,https://www.healthtap.com/
Q30295214,,3499600Z:LN,heptares-therapeutics,https://soseiheptares.com/
Q30298073,0001346889,,hexatech,https://www.hexatechinc.com/
Q18349753,,0572958D:IT,hola,http://hola.org/
Q5887924,0001366684,,homeaway,https://www.vrbo.com/?vgdc=HAUS&preferlocale=true
Q5909598,0001662164,788976Z:US,hotchalk,
Q5949332,0001560625,0573316D:IN,husk-power-systems,https://huskpowersystems.com/
Q16996214,,,hytrust,https://www.entrust.com/digital-security/cloud-security-encryption-key-management
Q24260768,0001473911,8765407Z:US,illumitex,https://www.illumitex.com/
Q6007092,0001364962,,imperva,https://www.imperva.com/
Q4041316,0001114995,,impinj,https://www.impinj.com/
Q2361202,0001347428,,imvu,https://secure.imvu.com/
Q3809397,,1805Z:SW,,https://www.indexventures.com/
Q6020258,,,indian-energy-exchange,https://www.iexindia.com/
Q6032277,0001121620,,ingenuity-systems,https://digitalinsights.qiagen.com/
Q50038595,0001609550,,inspire-medical-systems,https://www.inspiresleep.com/
Q6042545,0001086688,,intarcia-therapeutics,https://www.intarcia.com/
Q16986507,0001423664,,intelepeer,https://intelepeer.com/
Q64141834,0001171418,,intematix,http://intematix.com/
Q104481070,0001213628,,intrinsic-therapeutics,https://www.barricaid.com/
Q5973348,0001492714,,iqor,
Q104480815,0001521993,9216213Z:US,ivantis,https://www.ivantisinc.com/
Q6315697,0001656168,,just-eat-com,https://www.just-eat.co.uk/
Q15646906,,,kabam,https://kabam.com/
Q30287853,0001479419,,kala-pharmaceuticals,https://www.kalarx.com/
Q2573511,0001432133,,kaltura,https://corp.kaltura.com/
Q16852354,0001327870,0267418Z:US,kareo,https://www.kareo.com/
Q6423296,0001417373,1458603D:US,kgb,https://www.kgb.com/
Q97486385,0001574601,0765617D:CN,kik-interactive,https://www.kik.com/
Q16858667,0001069258,,kratos-defense-and-security-solutions,https://www.kratosdefense.com/
Q106411724,0001549595,NRIX:US,nurix,https://www.nurixtx.com/
Q6517346,0001286139,,,https://www.legalzoom.com/
Q6522340,0001409970,,lendingclub,https://www.lendingclub.com/
Q21192330,,8267:HK,linekong,
Q1577907,,,lionbridge,https://www.lionbridge.com/
Q30265408,0001330436,LQDA:US,liquidia-technologies,https://liquidia.com/
Q6646522,,0852832D:US,listia,https://www.listia.com/
Q1869704,0001855544,8145554Z:US,lookout,https://lookout.com/
Q6675775,0001353209,,loopnet,https://www.loopnet.com/
Q60674846,,,lotame,https://www.lotame.com/
Q17077886,,,luxtera,https://www.cisco.com/c/en/us/products/interfaces-modules/transceiver-modules/index.html
Q30269117,0001382268,,lycera,https://lycera.com/
Q4043544,0001450576,,machinima,https://www.machinima.com
Q41522717,0001314223,,amber-road,https://www.e2open.com/
Q6753728,0001468803,,mapr-technologies,https://www.hpe.com/us/en/software/ezmeral-data-fabric.html
Q4004687,,,unieuro,https://www.unieuro.it/online/
Q17145839,0001102832,,marketocracy,
Q54437388,0001361470,,,
Q6794502,0001288469,,maxlinear,https://www.maxlinear.com/
Q30259112,0001478309,9283002Z:US,mc10,https://mc10inc.com/
Q50037884,0001572616,0346006D:US,fractyl-laboratories,https://www.fractyl.com/
Q1625371,0001213246,,meetup,https://www.meetup.com/
Q3249419,0001563345,0179684D:LN,memrise,https://www.memrise.com/
Q104481119,0001442836,,mersana-therapeutics,https://www.mersana.com/
Q6820755,0001167294,,meru-networks,
Q6839659,,,micromax-informatics,
Q16927706,,0231413Z:US,jam-city,https://www.jamcity.com/
Q56290376,,9879488Z:US,miq-logistics,https://www.miq.com/
Q6886702,0001380124,,mobitv,https://mobitv.com/
Q6888259,0001118417,,model-n,
Q17081612,0001682852,MRNA:US,moderna-therapeutics,https://www.modernatx.com/
Q25111777,0001745114,,molecular-partners,https://www.molecularpartners.com/
Q43895024,0001433163,9437406Z:US,moximed,https://www.moximed.com/
Q6933868,0001374684,,mulesoft,https://www.mulesoft.com/
Q6941634,0001361630,0557079D:US,music-reports,https://www.musicreports.com/
Q589757,0001563538,,myheritage,https://www.myheritage.com/
Q6963969,0001401708,,nanostring-technologies,https://www.nanostring.com/
Q3870175,0001160719,,nanosys,https://nanosys.com/
Q3870183,,,nantero,http://nantero.com/
Q17183195,0001489390,,narrative-science,https://narrativescience.com/
Q28228247,0001507987,0108882D:US,nasuni,https://www.nasuni.com/
Q7002474,0001227636,STIM:US,neuronetics,https://neurostar.com/
Q63969967,0001528287,,neuropace,https://neuropace.com/
Q30288269,,8269863Z:US,neurovigil,https://neurovigil.com/
Q4811938,,642868Z:US,asurion,https://www.asurion.com/
Q7011152,0001448056,,new-relic,https://newrelic.com/
Q30288370,0001426332,NGM:US,ngm-biopharmaceuticals,https://www.ngmbio.com/
Q50038032,0001473959,,ninepoint-medical,https://ninepointmedical.com/
Q6954695,0001124796,,nlight,https://www.nlight.net/
Q10603873,0001417752,0344519Z:US,novomer,https://novomer.com/
Q30284015,0000890465,,nps-pharmaceuticals,https://www.takeda.com
Q16959629,0001618732,,nutanix,https://www.nutanix.com/
Q30284118,,,omeros,https://www.omeros.com
Q18635282,0001302573,,oncomed-pharmaceuticals,https://www.mereobiopharma.com/
Q97486409,,ONE97:IN,one97-communications,https://paytm.com/en
Q7092382,,,onelogin,https://www.onelogin.com/
Q7095328,0001327688,,ooma,https://www.ooma.com/
Q7096496,,,openet,https://www.openet.com/
Q7095918,0001520718,8383250Z:US,openx,https://www.openx.com/
Q30296419,0001293818,,opgen,https://www.opgen.com/
Q7098706,0001545207,0213707D:US,chef,https://www.chef.io/
Q104481318,0000946340,,optiscan-biomedical,http://optiscancorp.com/cgi-sys/suspendedpage.cgi
Q15711096,0001503887,1629682D:US,orbotix,https://sphero.com/
Q43896292,0001493566,,otonomy,https://www.otonomy.com/
Q17051632,0001454938,8153292Z:US,outbrain,https://www.outbrain.com/
Q43896293,,,oxagen,http://oxagen.co.uk/
Q48989804,0001568100,,pagerduty,https://www.pagerduty.com/
Q30291406,0001402296,0051489D:US,,
Q7156870,0001845815,8228749Z:US,payoneer,https://www.payoneer.com/
Q17505016,,8269956Z:US,peel,http://peel.com/
Q30291158,,1088347D:CN,peraso-technologies,https://perasotech.com/
Q60751447,,8369193Z:US,personetics-technologies,https://personetics.com/
Q7188106,0001412408,,phreesia,https://www.phreesia.com/
Q18158488,,,picaboo,https://www.picaboo.com/
Q95981574,0001644396,,vionx-energy,
Q30269215,0001510487,,principia-biopharma,https://www.sanofi.com/
Q7251543,0001359931,,proteon-therapeutics,
Q104481443,0001445283,,proteostasis-therapeutics,https://www.yumanity.com/
Q7120927,0001314102,,,
Q30269247,0001450751,0342911Z:US,,
Q30288609,0001295524,PULM:US,pulmatrix,https://www.pulmatrix.com/
Q4047758,0001393806,0096172D:US,quantcast,https://www.quantcast.com/
Q30265448,0001503274,,quanterix,https://www.quanterix.com/
Q22078041,0001470686,0852928D:US,quantifind,https://www.quantifind.com/
Q99036143,0001811414,QS:US,quantumscape,https://www.quantumscape.com/
Q2898555,,,radwin,https://www.radwin.com/
Q432147,0001255336,1466426D:US,red-herring,https://www.redherring.com/
Q7303543,0001381794,,redbrick-health,
Q7305846,0001382821,,redfin,https://www.redfin.com/
Q22908207,,,redline-communications,https://rdlcom.com/
Q7306564,0001752108,RBZ:US,reebonz,https://reebonz.com/
Q30259861,,0300415D:NO,,
Q7313510,0001468327,,rent-the-runway,https://www.renttherunway.com/
Q7331089,0001439065,0102728D:US,richrelevance,
Q7354187,0001439538,,rockyou,
Q7277604,0001334625,,rpath,
Q106644915,,0059260Z:US,unirush-financial-services,https://www.rushcard.com/
Q4376955,0001597033,,sabre-holdings,https://www.sabre.com/
Q941127,0001108524,,salesforce,https://www.salesforce.com/
Q28457337,0001284053,1376060D:US,salient-partners,
Q1467888,0001375506,,scribd,https://www.scribd.com/
Q30291894,,2337306Z:SM,scytl,https://www.scytl.com/
Q30288672,0001453687,SELB:US,selecta-biosciences,https://selectabio.com/
Q16961710,0001477425,,sendgrid,https://sendgrid.com/
Q7450241,0001058499,,sendmail,https://www.proofpoint.com/us
Q30261278,0001616543,,senseonics,https://www.senseonics.com/
Q7389749,,0354197D:US,moz,https://moz.com/
Q30271884,0001451718,8285465Z:US,seventh-sense-biosystems,https://yourbiohealth.com
Q2748407,0001784851,0569424D:US,shapeways,https://www.shapeways.com/
Q4049371,0001430050,526408Z:US,sharethis,https://sharethis.com/
Q106411746,,,shilpa-medicare,https://vbshilpa.com/
Q106472237,,SHINEON:CH,shineon,
Q106411740,0001459839,SIBN:US,si-bone,
Q50039757,0001551693,SIEN:US,sientra,https://sientra.com/
Q55593544,0001125340,,signiant,https://www.signiant.com/
Q16949688,0001494656,,silego,http://silego.com/
Q106411894,,0357437Z:LN,silixa,https://silixa.com/
Q3485048,0001084201,SVA:US,sinovac-biotech,
Q64142580,0001366388,0345551Z:US,sionyx,https://www.sionyx.com/
Q17194268,0001781926,,sisense,https://www.sisense.com/
Q55360040,0001451809,,sitime,https://www.sitime.com/
Q34045622,0001517413,,fastly,https://www.fastly.com/
Q16950076,0001374347,,skytap,https://www.skytap.com/
Q7538404,0001400813,,slacker,https://www.livexlive.com/?utm_campaign=slacker-redirect&
Q7547240,0001475970,0346607Z:US,snaplogic,https://www.snaplogic.com/
Q7556910,,,solarcentury,https://www.solarcentury.com/
Q187212,0001419612,,,
Q3271267,,,solyndra,https://www.solyndra.com/
Q3492619,0001314727,SONO:US,sonos,https://www.sonos.com/en-us/home
Q568769,,0115249D:GR,soundcloud,https://soundcloud.com/
Q7564622,,0276697D:US,soundhound,https://www.soundhound.com/
Q193701,0001181412,711339Z:US,space-exploration-technologies,https://www.spacex.com/
Q766315,0001343940,,spaceclaim,https://www.ansys.com/products/3d-design/ansys-spaceclaim
Q7572734,,,spacetime-studios,https://www.spacetimestudios.com
Q15458063,,,spartoo,https://www.spartoo.com/
Q7576947,0001363945,8261652Z:US,spiceworks,https://www.spiceworks.com/
Q106411757,0001269997,,spine-wave,https://spinewave.com/
Q106411757,0001269997,,spine-wave,https://spinewave.com/
Q7578405,,2310003Z:US,splashtop,https://www.splashtop.com/
Q1835753,0001353283,,,
Q7580827,0001423866,,springcm,https://www.springcm.com/
Q7582097,0001496963,0569579D:US,squarespace,https://www.squarespace.com/
Q3495447,0001491819,8168851Z:US,stack-exchange,https://stackexchange.com/
Q7856115,0001538459,9877182Z:US,,https://turntable.fm/
Q13512469,0001465505,,stocktwits,https://stocktwits.com/
Q1544974,0001298253,,sugarcrm,https://www.sugarcrm.com/
Q24818973,0001462331,3679752Z:US,supplyframe,https://supplyframe.com/
Q17143062,0001382101,STRO:US,sutro-biopharma,https://www.sutrobio.com/
Q4050516,0001341812,1024783Z:US,synthetic-genomics,https://www.viridos.com
Q30283910,0001410030,7575548Z:CN,tantalus-systems,https://www.tantalus.com/
Q7684697,0001456760,,tapjoy,https://www.tapjoy.com/
Q389701,0001270628,,technorati,https://technorati.com/
Q30292171,,,teem-photonics,
Q64142776,0001364173,,tela-innovations,http://tela-inc.com/
Q20715093,0001362953,TDOC:US,teladoc,https://teladochealth.com/
Q4050859,,,terrapower,https://www.terrapower.com/
Q30269332,0001373707,,tetraphase-pharmaceuticals,https://www.tphase.com/
Q7741165,0001829801,THG:LN,the-hut-group,https://www.thg.com
Q43896289,0001310967,,theraclone-sciences,https://theraclone-sciences.com/
Q16956307,,,theranos,
Q7733371,0001493022,0345998D:US,fancy,https://fancy.com/
Q105751519,0001484778,8289691Z:US,thredup,https://www.thredup.com/
Q24902117,0001473620,,videologygroup,https://videologygroup.com/
Q5206764,,0350136D:HK,dxy,https://portal.dxy.cn/
Q7808437,,,tinopolis,https://www.tinopolis.com/
Q7808537,0001554875,TNTRQ:US,tintri,https://tintri.com/
Q18157247,,,tradingscreen,
Q5324516,0001493318,1263454D:IT,etoro,https://www.etoro.com/
Q7832795,0001349942,,trailer-park,https://trailerpark.com/
Q7833612,0001260221,,transdigm,https://www.transdigm.com/
Q7834584,0001092287,,transmedics,https://www.transmedics.com/
Q7838954,0001429560,TRVN:US,trevena,https://www.trevena.com/
Q7846652,0001140146,,troux-technologies,https://www.planview.com/products-solutions/solutions/technology-application-portfolio-management/
Q8648724,0001597095,TOUR:US,tuniu-com,
Q1390577,0001418091,TWTR:US,twitter,https://twitter.com/
Q7899844,0001490444,0374965Z:US,urban-airship,https://www.airship.com/
Q97486413,,VANCLZ:CH,vancl,https://shop92626071.m.youzan.com/v2/showcase/homepage?alias=weCb8yP1B7
Q30289280,,2743763Z:LN,vantia-therapeutics,http://vantia.com/
Q30292474,0000704159,,vbi-vaccines,https://www.vbivaccines.com/
Q30269392,0001603207,,,
Q7920857,0001358559,,veracode,https://www.veracode.com/
Q7921966,,,verne-global,https://verneglobal.com/
Q16960210,,,veveo,
Q30288263,0001581903,,viacyte,https://viacyte.com/
Q7924463,,,viagogo,https://www.viagogo.com/
Q23777957,,8231001Z:BZ,viajanet,https://www.viajanet.com.br/
Q16960242,,0114553D:US,viamedia,https://viamediatv.com/
Q77581453,0001336705,,viewray,https://viewray.com/
Q7935564,0001170878,,visage-mobile,https://www.brightfin.com/
Q30269387,0001426375,,visterra,
Q18357721,0001794339,,turbonomic,https://www.turbonomic.com/
Q866972,0001272830,,vonage,https://www.vonage.com/
Q106411857,0001409649,0302910Z:US,vytronus,http://vytronus.com/
Q7978996,,,webtrends,https://www.webtrends.com/
Q7977212,0001476869,,wepay,https://go.wepay.com/
Q30259210,0001382044,9864023Z:US,wildcat-discovery-technologies,http://www.wildcatdiscovery.com/
Q8031715,,0345278D:US,wonderhowto,https://www.wonderhowto.com/
Q974657,,,wooga,https://www.wooga.com/
Q8034666,0001327811,,workday,https://www.workday.com/
Q48976591,0001286292,,worksoft,http://worksoft.com/
Q30253570,0001582313,,xenon-pharmaceuticals,https://www.xenon-pharma.com/
Q8044926,,,xoom,https://www.xoom.com/
Q22059610,0001581816,0345295D:US,yottaa,https://www.yottaa.com/
Q8057785,0001419772,,youmail,https://www.youmail.com/
Q8069662,0001664715,,zerto,https://www.zerto.com/
Q8070896,0001101680,,zhone-technologies,
Q203485,0001444190,,zimbra,https://www.zimbra.com/
Q8075320,0001423774,ZUO:US,zuora,
Q245772,0001439404,,zynga,https://www.zynga.com/
Q16800556,,0365947D:AU,99designs,https://99designs.com/
Q56585141,0001464814,,auris-surgical-robotics,https://www.aurishealth.com/
Q96377962,,0172540D:IN,firstcry-com,https://www.firstcry.com/
Q5008097,,0863935D:US,c2-education,https://www.c2educate.com/
Q16829203,0000771856,,champions-oncology,https://www.championsoncology.com/
Q3540193,0001616707,,wayfair,https://www.wayfair.com/v/captcha/show?goto=https%3A%2F%2Fwww.wayfair.com%3F&px=1&captcha_status=0
Q20714597,0001819035,INAQU:US,metromile,https://www.metromile.com/
Q3106643,0001421081,,gilt-groupe,https://www.gilt.com/boutique/
Q1554988,,,,https://www.gruener-punkt.de/de/
Q16995922,0001520184,,hoteltonight,https://www.hoteltonight.com/
Q3019900,0001355754,,,https://www.instructure.com/
Q25025033,,,jobvite,https://www.jobvite.com
Q30889425,,0993879D:GR,kupivip,https://www.kupivip.ru/
Q2984629,,,lytro,https://raytrix.de/
Q6869591,0001648232,,minted,https://www.minted.com/
Q17114220,0001595301,,neverware,https://www.neverware.com/
Q6509916,,,leap-motion,https://www.ultraleap.com/
Q97498233,0001580560,FLYW:US,flywireco,https://www.flywire.com/
Q2193947,0001416265,1043980Z:US,prosper,https://www.prosper.com/
Q7261135,0001474432,,pure-storage,https://www.purestorage.com/
Q7317797,0001698191,8371682Z:US,revel-systems,http://revelsystems.com/
Q20011503,0001619601,,entelo,https://www.entelo.com/
Q5872693,0001511277,0570274D:US,connexity,https://connexity.com/
Q4762034,,8161390Z:US,angellist,http://angel.co/
Q7624104,0001691342,0170016D:US,stripe,https://stripe.com/
Q7692685,,3592197Z:US,techstars,https://www.techstars.com
Q30269353,,0077872D:LN,topivert,http://topivert.com/
Q22077752,,,bitgo,https://www.bitgo.com/
Q8053007,0001516518,0236309Z:US,yesware,https://www.yesware.com/
Q5550386,0000041133,,gerber-scientific,https://www.gerbertechnology.com/
Q63327,0001559720,ABNB:US,airbnb,https://www.airbnb.com/
Q20313312,0001626450,BIGC:US,bigcommerce,https://www.bigcommerce.com/
Q16248637,0001561550,DDOG:US,datadog,https://www.datadoghq.com/
Q18636409,0001569345,,sprinklr,https://www.sprinklr.com/
Q30268746,,38429Z:LN,autifony-therapeutics,
Q30271632,0001528846,,arsenal-medical-inc,https://arsenalmedical.com/
Q6008783,,9877633Z:SP,,
Q43895874,0001527621,3670086Z:US,occipital,https://occipital.com/
Q17142127,0001024126,,pernix-therapeutics-inc,http://pernixtx.com/
Q6315705,0001531017,1765194D:US,justfabulous,https://www.techstylefashiongroup.com/
Q6899030,,,monetate,https://kibocommerce.com/personalization-software/?utm_campaign=monetate_redirect
Q17157194,0001510984,15053Z:US,skillshare,https://www.skillshare.com/
Q16827155,0001526855,6972889Z:US,cloudbees,https://www.cloudbees.com/
Q30260685,0001527753,PSNL:US,personalis,https://www.personalis.com/
Q18534725,0001530979,0213592D:US,the-honest-company,https://www.honest.com/
Q23461763,,MANB:IN,manpasand-beverages,
Q7581990,0001512673,SQ:US,square,https://squareup.com/us/en
Q6343985,0001472662,8172566Z:US,kabbage,https://www.kabbage.com/
Q15898172,0001835724,ZH:US,zhihu,https://www.zhihu.com/signin?next=%2F
Q18712957,0001740915,FTCH:US,farfetch,https://www.farfetch.com/
Q5121261,,54002Z:US,ciphercloud,https://security.lookout.com/
Q4686934,0001788707,ADYEN:NA,adyen,https://www.adyen.com/
Q15589464,0001467623,,dropbox,https://www.dropbox.com/
Q12988581,0001439606,,livingsocial,https://www.livingsocial.com/
Q70869071,,,spil-games,https://spilgames.com/
Q2979728,0001535379,,cloudera,https://www.cloudera.com/
Q21410969,0001579543,0708634D:US,nok-nok-labs,https://noknok.com/
